AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3107; FK_ORDER_ID: 24321542; CUR_ID: 155; DATE: 11.09.2017 17:46; SIGN: D86DC3F3AB9B215B10FDDC0AE795358D; MY_SIGN: D86DC3F3AB9B215B10FDDC0AE795358D;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3125; FK_ORDER_ID: 24324203; CUR_ID: 155; DATE: 11.09.2017 18:49; SIGN: F1D2BB4249BB2457F07BCD96C502A013; MY_SIGN: F1D2BB4249BB2457F07BCD96C502A013;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 18:49; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 18:50; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 18:55; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 19:00; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 19:05; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3124; FK_ORDER_ID: 24324192; CUR_ID: 155; DATE: 11.09.2017 19:10; SIGN: D0B51809245AF58696983E1959098612; MY_SIGN: D0B51809245AF58696983E1959098612;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3291; FK_ORDER_ID: 24343932; CUR_ID: 155; DATE: 12.09.2017 12:24; SIGN: CD99DAB9A374F7407CBED22894F2125E; MY_SIGN: CD99DAB9A374F7407CBED22894F2125E;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3302; FK_ORDER_ID: 24345221; CUR_ID: 155; DATE: 12.09.2017 13:09; SIGN: C3253F95A1C6E59647A39A3CD33AD7C4; MY_SIGN: C3253F95A1C6E59647A39A3CD33AD7C4;
AMOUNT: 5.00; SHP_ITEM: 9; ORDER_ID: 3312; FK_ORDER_ID: 24346242; CUR_ID: 155; DATE: 12.09.2017 13:39; SIGN: 5E4A5674527F25D7B0E8096CB8ECCA25; MY_SIGN: 5E4A5674527F25D7B0E8096CB8ECCA25;
AMOUNT: 5.00; SHP_ITEM: 9; ORDER_ID: 3314; FK_ORDER_ID: 24346272; CUR_ID: 155; DATE: 12.09.2017 13:40; SIGN: 6459D9DE8516C10BB55AFEAF18A29C39; MY_SIGN: 6459D9DE8516C10BB55AFEAF18A29C39;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3376; FK_ORDER_ID: 24358930; CUR_ID: 155; DATE: 12.09.2017 18:54; SIGN: 5D9D5F654E354A3A814C6FA22BDEDF2A; MY_SIGN: 5D9D5F654E354A3A814C6FA22BDEDF2A;
AMOUNT: 5.00; SHP_ITEM: 12; ORDER_ID: 3608; FK_ORDER_ID: 24383536; CUR_ID: 155; DATE: 13.09.2017 15:23; SIGN: E0EE395E4BC2A8FD5B280ED0A41F2CB4; MY_SIGN: E0EE395E4BC2A8FD5B280ED0A41F2CB4;
